elapsed time,species,compartment,concentration,
30.6152,V2R:AVP:G(ABG):GDP,Interstitium,0.0000E00
30.6152,V2R:AVP,Basolateral membrane,4.2992E-02
30.6152,V2R:AVP,Cytoplasm,0.0000E00
30.6152,V2R:AVP,Interstitium,0.0000E00
40.8220,G(ABG):GDP,Basolateral membrane,0.0000E00
40.8220,G(ABG):GDP,Cytoplasm,4.4700E02
40.8220,G(ABG):GDP,Interstitium,0.0000E00
40.8220,V2R:G(A):GTP,Basolateral membrane,1.8052E-03
40.8220,V2R:G(A):GTP,Cytoplasm,0.0000E00
40.8220,V2R:G(A):GTP,Interstitium,0.0000E00
40.8220,G(A):GTP,Basolateral membrane,0.0000E00
40.8220,G(A):GTP,Cytoplasm,1.1353E-02
40.8220,G(A):GTP,Interstitium,0.0000E00
40.8220,V2R:AVP:G(A):GDP,Basolateral membrane,1.0136E-04
40.8220,V2R:AVP:G(A):GDP,Cytoplasm,0.0000E00
40.8220,V2R:AVP:G(A):GDP,Interstitium,0.0000E00
40.8220,V2R:G(ABG):GDP,Basolateral membrane,7.2958E01
40.8220,V2R:G(ABG):GDP,Cytoplasm,0.0000E00
40.8220,V2R:G(ABG):GDP,Interstitium,0.0000E00
40.8220,V2R:G(A):GDP,Basolateral membrane,3.7927E-03
40.8220,V2R:G(A):GDP,Cytoplasm,0.0000E00
40.8220,V2R:G(A):GDP,Interstitium,0.0000E00
40.8220,V2R,Basolateral membrane,7.6997E02
40.8220,V2R,Cytoplasm,0.0000E00
40.8220,V2R,Interstitium,0.0000E00
40.8220,G(A):GDP,Basolateral membrane,0.0000E00
40.8220,G(A):GDP,Cytoplasm,2.3800E-02
40.8220,G(A):GDP,Interstitium,0.0000E00
40.8220,V2R:AVP:G(A):GTP,Basolateral membrane,1.5616E-06
40.8220,V2R:AVP:G(A):GTP,Cytoplasm,0.0000E00
40.8220,V2R:AVP:G(A):GTP,Interstitium,0.0000E00
40.8220,G(BG),Basolateral membrane,0.0000E00
40.8220,G(BG),Cytoplasm,4.0854E-02
40.8220,G(BG),Interstitium,0.0000E00
40.8220,AVP,Basolateral membrane,0.0000E00
40.8220,AVP,Cytoplasm,0.0000E00
40.8220,AVP,Interstitium,9.9387E00
40.8220,V2R:AVP:G(ABG):GDP,Basolateral membrane,5.0870E-03
40.8220,V2R:AVP:G(ABG):GDP,Cytoplasm,0.0000E00
40.8220,V2R:AVP:G(ABG):GDP,Interstitium,0.0000E00
